,0,Hateful Tweet ID,Hateful Tweet,Reply Tweet ID,Reply Tweet,counter_speech,Q2,Q3,Q4,target,clarity,evidence,emotional_appeal,rebuttal,audience_adaptation,fairness
166,2874,289891961748471808,â€œ@RealZachK0enn: @JManziel2 You're a faggotâ€you're a Texas fan...,289896153045151744,@JManziel2 @realzachk0enn lil PR suggestion. U might want to take this post down. Media will kill u over this. #freeAdvice,1,0.0,0.0,,lgbtqia+,1,1,1,1,1,1
109,1790,1318587092289585158,I wanna violate this bitch boy so bad but imma chill cause yâ€™all can bully but when I bully back yâ€™all be crying,1318587649066700801,@YungMiami305 why do you feel the need to prove yourself...itâ€™s not a crime to ignore things,1,1.0,0.0,,lgbtqia+,1,1,0,2,1,3
99,1720,1318554131200724992,"I love Democrats telling me I have to vote Biden. Bitch, Im an Independent. I don't owe your shit party anything. My vote was very easy to earn but the DNC did everything they could to let me know they are not interested in fighting for the policies I believe in.",1318591248664506369,"@TweetyMctwat @ProudSocialist Ok, you can fuck on off lol.",1,0.0,1.0,,political affiliation,1,1,1,1,0,1
110,1791,1318587092289585158,I wanna violate this bitch boy so bad but imma chill cause yâ€™all can bully but when I bully back yâ€™all be crying,1318610064693919747,"@YungMiami305 yâ€™all doing too much in her comments. thatâ€™s yâ€™all problem. yâ€™all love to create fake beef out of thin air and put female artists against each other. nicki was not dissing her, and she ainâ€™t talking about nicki in this tweet. go find a job pls",1,1.0,0.0,,lgbtqia+,1,1,1,2,1,1
340,9,1044596023442776066,"A MILF is a sexy ass mom over 35. If youâ€™re 20, youâ€™re just a bitch with a baby.",1044652967872335872,@Bandoo_Prime I gotta unfollow u bro,1,0.0,0.0,,gender,1,1,0,1,1,2
135,2380,1319719750331715585,"women be like â€œi need a man who can handle my toxic, bipolar, depressed assâ€ no bitch you need therapy",1319720035615723527,@snootid mfs be like â€œare you okayâ€... NO... TF U FINNA DO GIVE ME THERAPY ğŸš¶ğŸ½â€â™‚ï¸,1,0.0,1.0,,gender,1,1,1,1,1,2
107,1788,1318587092289585158,I wanna violate this bitch boy so bad but imma chill cause yâ€™all can bully but when I bully back yâ€™all be crying,1318593960139509767,@YungMiami305 Thatâ€™s so BeyoncÃ© page ? ğŸ§,1,0.0,0.0,,lgbtqia+,1,1,0,1,1,3
277,4435,747867637925937152,"A MILF is a sexy ass mom over 35. If you're 20, you're just a bitch with a baby.",747868628314259456,@CauseWereGuys do you run this account @tjacobs34 ? This is some shit you'd say hahaha,1,0.0,1.0,,gender,1,1,1,1,1,1
67,1382,1317130762282565633,I hate bitches that tell the truth all the time they donâ€™t give a fuck about nothing or nobody that shit is a turn off ğŸ¤¦ğŸ½â€â™‚ï¸ #Respectfully,1317132131349504001,@JustinLaboy Liars are turn offsğŸ¤·ğŸ¾â€â™€ï¸ https://t.co/suy72vfLsZ,1,0.0,0.0,,gender,1,1,1,1,1,2
324,4985,330938549669081088,Girl I wanna rip my dick off and throw it at your pussy.,330940051267665921,@morgan_murphy @robdelaney Thank you for letting us &amp; your Mom know that tweet was meant for you. I was wondering who Rob was tweeting.,1,0.0,1.0,,gender,1,1,0,1,1,3
214,3305,423589297720004608,"Invite me on your show, you lying pussy.  RT @Matthops82  ""Republicans are afraid of me. They don't want to talk to me."" - @edshow",423683655265837056,@TheRealRoseanne @AnnCoulter @Matthops82 @edshow No just scared of your insanity,1,0.0,1.0,,political affiliation,2,1,1,2,1,2
279,4443,820103753357529088,"#WhatIWouldTellA15YearOldMe Wow, what a gigantic faggot.",820104181767880704,@2gay2lift Furry porn will ruin you.,1,0.0,0.0,,lgbtqia+,1,1,1,1,1,1
287,4526,902955664464588804,"Go show your face and that sign in Houston, bitch. https://t.co/jsnrMNAZHa",902991571070705664,@Talkmaster I think your outrage about her is disproportionate to the outrage you could have about other things you could be outraged about,1,0.0,0.0,,gender,2,1,1,1,0,2
227,3537,441005511534575617,"Pigs drink up to 14 gallons of water every day, but they still aren't as thirsty as some of you hoes.",481492929857339392,@MacyLandrum @FactsAboutPigs @SPoole_021 Thots together Thot foevvaa ğŸ˜ğŸ˜‚,1,0.0,1.0,,gender,1,1,1,1,1,1
146,2704,1320388405243662336,Selling Pussy is not the only job in the world uno that right?? My friend makes $1200 a day just doing eyelashes. Just putting that out there if your not happy being a sex worker ğŸ’œ,1320426080755425280,@sukihanagoat SELLING PUSSY AND FUCKING IN PUBLIC ISNT A JOB BABYGIRL U LOST URSELF AND UR DAUGHTER GONNA GROW UP SELLING ASS LIKE HER MOMMA,1,1.0,1.0,,gender,2,1,1,1,1,1
345,190,1107042648026742787,"Waited forever to smash this one chick and when i did the pussy was dry and the mouth was trash. Talking bout ""when you coming back""? Neva Bitch! Y'all females stay talking about dick size but be dry af or yall booty wind stank when a nigga hit it from the back lol - DUğŸ†",1107043395619434499,@HBCUfessions Maybe YOU just couldnâ€™t get the pussy wet ğŸ¤·ğŸ¾â€â™€ï¸,1,1.0,0.0,,gender,2,1,1,1,1,2
17,1170,1309541942804570114,Bitches always complain that I donâ€™t spend money on them. This is college and most of the time we BOTH sum broke ass college students so stop worrying bout what Iâ€™m doing w/ my money and go and get yo own bag. -anon,1309542176238469122,@HBCUfessions Bitches or your girlfriends?,1,0.0,0.0,,gender,1,1,0,1,1,2
307,4651,993923301855526912,"i hate wen niggas ask â€do u got a backwood i cud use bro?â€ broke ass weak weird nigga NO i dont, all my woods are for ME...and to u bitches, quit kickin it wit these lil niggas 50 deep in air bnbs wit no smoke or quality liquor lol u all just end up lookin like dork ass idiots.",993933936655925248,@XavierWulf All types and levels of weird and weak ğŸ˜³,1,0.0,0.0,,ethnicity/race,1,1,1,1,1,2
8,1124,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1305098393136574465,@AsianDaBrattt Damn!!! No games ğŸ™…ğŸ¾â€â™‚ï¸ğŸ™…ğŸ¾â€â™‚ï¸ğŸ™…ğŸ¾â€â™‚ï¸ğŸ¤£,1,0.0,0.0,,gender,1,1,1,1,1,2
181,3130,363692996098654208,"ğŸ˜ğŸ˜‚ğŸ˜ğŸ˜‚ğŸ˜ğŸ˜‚ğŸ˜ğŸ˜‚ fuck you
Nigga. No shame tho! Fat in all the right places! RT @jburnone: Ur not a thick bitch your a fat chick itâ€™s a difference",363697540018868226,"@jburnone Lmao, stop it. Weâ€™re homies!",1,0.0,1.0,,ethnicity/race,2,1,1,2,1,3
261,3957,499778410752016384,Even at a young age these hoes ain't loyal http://t.co/OMWaEd2PcJ,499787106425008128,@DFkinLopes @SAVAGETWlTTER stole this you fag,1,0.0,1.0,,gender,1,1,1,1,1,1
141,2386,1319719750331715585,"women be like â€œi need a man who can handle my toxic, bipolar, depressed assâ€ no bitch you need therapy",1319720158735134721,@snootid this dudes on fire today,1,0.0,0.0,,gender,1,1,1,1,1,2
64,1229,1311850414493462528,Hahahahaha!! Man this guy is really something. He actually canâ€™t just be himself. â€œHey Pussy you still there?â€ I know youâ€™re reading this. Fuck I love it when they run.,1311963467570585605,@stylebender Says the biggest runner of them all,1,0.0,1.0,,lgbtqia+,1,1,0,1,1,2
11,1127,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1305472463208411136,@AsianDaBrattt reading this gave me a migrane,1,0.0,0.0,,gender,1,1,1,1,1,3
306,4650,993923301855526912,"i hate wen niggas ask â€do u got a backwood i cud use bro?â€ broke ass weak weird nigga NO i dont, all my woods are for ME...and to u bitches, quit kickin it wit these lil niggas 50 deep in air bnbs wit no smoke or quality liquor lol u all just end up lookin like dork ass idiots.",993926112085532672,@XavierWulf Ppl too broke for backwoods shouldnt smoke weed ğŸ˜‚ get your shit together ffs,1,0.0,1.0,,ethnicity/race,2,1,1,1,1,1
213,3304,423589297720004608,"Invite me on your show, you lying pussy.  RT @Matthops82  ""Republicans are afraid of me. They don't want to talk to me."" - @edshow",423682806661660672,"@AnnCoulter @Matthops82 @edshow Ann don't insult the female anatomy that way. Besides, the only p*ssy Shultz lies with, fits in his pocket.",1,0.0,0.0,,political affiliation,2,1,1,2,1,1
150,2858,289891961748471808,â€œ@RealZachK0enn: @JManziel2 You're a faggotâ€you're a Texas fan...,289892466038022145,@JManziel2 @realzachk0enn I'm true Texas fan and there is no reason to hate on Him #hater,1,0.0,0.0,,lgbtqia+,2,1,0,2,1,3
97,1718,1318554131200724992,"I love Democrats telling me I have to vote Biden. Bitch, Im an Independent. I don't owe your shit party anything. My vote was very easy to earn but the DNC did everything they could to let me know they are not interested in fighting for the policies I believe in.",1318590518092320768,"@TweetyMctwat @ProudSocialist Look, Iâ€™m an independent too.  I voted for Biden because being independent means I vote for who I believe is the best person for an office.  I will say that I voted straight Democrat this cycle because Trump has destroyed this country &amp; the GOP silence is unacceptable.",1,1.0,0.0,,political affiliation,3,2,1,3,1,3
71,1386,1317130762282565633,I hate bitches that tell the truth all the time they donâ€™t give a fuck about nothing or nobody that shit is a turn off ğŸ¤¦ğŸ½â€â™‚ï¸ #Respectfully,1317135366323929090,@JustinLaboy This is me. Iâ€™m going to tell your ass the truth so donâ€™t ask anything you really donâ€™t want to hear the answer to ğŸ˜‚ğŸ¤£,1,0.0,1.0,,gender,3,1,1,2,1,1
304,4623,907370846272065538,"the ironic fact that you're outraged by ""your white is showing"" and not ""what a fucking nigger"" confirms that you are, literally, like that.  https://t.co/O1e9wNTSDM",907445675142598656,@brikenbur @TreMelvin That's your black ass opinion,1,0.0,1.0,,ethnicity/race,1,1,1,1,1,1
292,4531,902955664464588804,"Go show your face and that sign in Houston, bitch. https://t.co/jsnrMNAZHa",903279481577758720,@TheArbiter91 @WinstonSmith67 @Talkmaster Antifa are anarchist. Left of left. BLM isn't left or right. If u can't understand the reason behind BLM then u aren't paying attention.,1,1.0,0.0,,gender,2,1,1,2,1,2
359,476,1229604569161691136,Weak ass nigga had sneak him from the back come fight a Blackâ€Meauliâ€ nigga that know how to fight pussy ass niggas https://t.co/C7llgmnSNQ,1229836678245699584,@Kaiosama_King ğŸ‘ğŸ½ğŸ‘ğŸ½ğŸ‘ğŸ½ that was wack,1,0.0,0.0,,ethnicity/race,1,1,1,1,1,2
350,195,1107042648026742787,"Waited forever to smash this one chick and when i did the pussy was dry and the mouth was trash. Talking bout ""when you coming back""? Neva Bitch! Y'all females stay talking about dick size but be dry af or yall booty wind stank when a nigga hit it from the back lol - DUğŸ†",1107303982211444737,"@HBCUfessions So it was dry but he still slept with her? Her mouth was trash, but he still slept with her? A young womanâ€™s â€œbooty windâ€ stank and you still slept with her? ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ these niggas be telling on themselves",1,0.0,1.0,,gender,2,1,1,3,1,2
178,3096,356255162345603075,"DEATH THREAT: Black man tweets photo of himself holding gun, tweets ""Zimmerman we comin for yo life bitch"" http://t.co/ARLBb3OqYs",356256630452658176,@trscoop I say again it is amazing how people don't realize that their Tweets can be used as evidence in their upcoming trials!,1,0.0,0.0,,ethnicity/race,3,1,1,2,1,3
162,2870,289891961748471808,â€œ@RealZachK0enn: @JManziel2 You're a faggotâ€you're a Texas fan...,289894211891908608,@JManziel2 say homie im a #texas fan #HookemHorns .... but i dont think u a faggot.... u a #beast   hope #cowboys draft u wen u hit da draft,1,0.0,1.0,,lgbtqia+,2,1,1,2,1,2
245,3661,468435646630350848,"Kim K a hoe, because she fucked 4 dudes we see on TV? Some of you hoes have fucked 40 dudes that don't even got a TV in their crib!",468820143649206272,@blackm0chaa shut up . get yu some money then change yur avi.,1,0.0,1.0,,gender,1,1,1,1,1,1
220,3311,423589297720004608,"Invite me on your show, you lying pussy.  RT @Matthops82  ""Republicans are afraid of me. They don't want to talk to me."" - @edshow",423881286537605120,"@TheRealRoseanne @AnnCoulter @Matthops82 @edshow speaking about lying pussies, do you use yours or is it a barren wasteland like your heart?",1,0.0,1.0,,political affiliation,2,1,1,1,1,1
313,4958,330938549669081088,Girl I wanna rip my dick off and throw it at your pussy.,330966903122182144,@robdelaney how could anyone ever love you.,1,0.0,0.0,,gender,1,1,1,1,1,2
226,3536,441005511534575617,"Pigs drink up to 14 gallons of water every day, but they still aren't as thirsty as some of you hoes.",448256288166658048,@dylondishari @FactsAboutPigs fuck you pig boy,1,0.0,1.0,,gender,1,1,1,1,1,1
140,2385,1319719750331715585,"women be like â€œi need a man who can handle my toxic, bipolar, depressed assâ€ no bitch you need therapy",1319979394253742080,@snootid you so loud. for wat,1,0.0,0.0,,gender,1,1,0,1,1,3
40,1205,1311850414493462528,Hahahahaha!! Man this guy is really something. He actually canâ€™t just be himself. â€œHey Pussy you still there?â€ I know youâ€™re reading this. Fuck I love it when they run.,1311873482192572418,@stylebender U TURNED DOWN THE FIGHT ğŸ¤¦ğŸ¿â€â™‚ï¸ğŸ¤¦ğŸ¿â€â™‚ï¸ğŸ¤·ğŸ¿â€â™‚ï¸,1,0.0,0.0,,lgbtqia+,1,1,1,1,1,3
199,3290,423589297720004608,"Invite me on your show, you lying pussy.  RT @Matthops82  ""Republicans are afraid of me. They don't want to talk to me."" - @edshow",423601199963570176,"@AnnCoulter @Matthops82 @edshow he means GOP players and thought leaders, not right-wing circus geeks",1,0.0,1.0,,political affiliation,2,1,1,2,1,2
363,956,1302075694223101953,I done seen a nigga say he love me and tell the next  bitch he donâ€™t fw me so when it comes to these niggas ion trust shit ..,1302627844170940416,@hecraveskay @Ladiiscorpio_ and Iâ€™ve been thru a lot with a bitch thatâ€™s fucked over me said fucked up shit and abused me so when it come to you bitches ion trust shit,1,1.0,1.0,,ethnicity/race,2,1,1,1,1,1
263,4213,522595296811831296,"She play Quarterback, and got a cheerleader girlfriend... YUPP this hoe more of a man than I'll ever be. http://t.co/QlUUaJlyiZ",523118395043373057,"@Curvables I mean she's already been one step ahead of you since she probably doesn't call other girls ""hoe"" but who am I to judge?",1,1.0,0.0,,gender,2,1,1,2,1,2
252,3844,484615988059860992,If you're attractive &amp; you think ANY straight guy just wants to be your friend...bitch you stupid,484869421421195266,@ToraChan23 @elisabethh_x @XendayaEmanuelX that statement made was ignorant lmfao. You trying say opinions can't be ignorant ğŸ˜‚ğŸ˜‚ğŸ˜‚,1,0.0,1.0,,gender,1,1,1,1,1,2
206,3297,423589297720004608,"Invite me on your show, you lying pussy.  RT @Matthops82  ""Republicans are afraid of me. They don't want to talk to me."" - @edshow",423611665226035200,"@AnnCoulter I've read all your books &amp; most of your columns, but u calling @edshow a lying pussy might be the funniest thing you've written.",1,0.0,0.0,,political affiliation,2,1,1,1,1,3
224,3498,435478225959927808,We all know a faggot named Luke,435490264678166528,@Lou_Steel hahaha she's such a lady it's unreal,1,0.0,0.0,,lgbtqia+,1,1,1,1,1,2
233,3597,458819495440564224,If you're attractive &amp; you think ANY straight guy just wants to be your friend...bitch you stupid.,459542215820582912,"@CoreyKeyz Or maybe they just expect common human decency? Weird right? They must be so stupid to think any guy who only wants sex is ""nice""",1,1.0,0.0,,gender,3,1,1,3,1,3
243,3627,463165850082488320,"Why black women say ""I'm gon get me a white man"" like white guys not dogging bitches too. Y'all so dumb",463787618262458368,@lilduval not as much as niggas do tho...,1,0.0,0.0,,ethnicity/race,2,1,1,2,1,3
74,1389,1317130762282565633,I hate bitches that tell the truth all the time they donâ€™t give a fuck about nothing or nobody that shit is a turn off ğŸ¤¦ğŸ½â€â™‚ï¸ #Respectfully,1317147147268128769,@JustinLaboy But yâ€™all hate it when we lie soooo figure it out ğŸ˜­ğŸ˜­,1,0.0,0.0,,gender,2,1,1,1,1,3